id,row,col,r,g,b,alpha_avg,label
1,0,0,0,0,0,0,
2,0,1,0,0,0,0,
3,0,2,0,0,0,0,
4,0,3,0,0,0,0,
5,0,4,0,0,0,0,
6,0,5,0,0,0,0,
7,0,6,0,0,0,0,
8,0,7,0,0,0,0,
9,0,8,0,0,0,0,
10,0,9,0,0,0,0,
11,0,10,0,0,0,0,
12,0,11,0,0,0,0,
13,0,12,0,0,0,136,
14,0,13,0,0,0,64,
15,0,14,0,0,0,59,
16,0,15,0,0,0,11,
17,0,16,0,0,0,72,
18,0,17,0,0,0,130,
19,0,18,0,0,0,68,
20,0,19,0,0,0,26,
21,0,20,0,0,0,0,
22,0,21,0,0,0,0,
23,0,22,0,0,0,0,
24,0,23,0,0,0,0,
25,0,24,0,0,0,0,
26,0,25,0,0,0,0,
27,0,26,0,0,0,0,
28,0,27,0,0,0,0,
29,0,28,0,0,0,0,
30,0,29,0,0,0,0,
31,0,30,0,0,0,0,
32,0,31,0,0,0,0,
33,0,32,0,0,0,0,
34,0,33,0,0,0,0,
35,0,34,0,0,0,0,
36,0,35,0,0,0,0,
37,0,36,0,0,0,0,
38,0,37,0,0,0,0,
39,0,38,58,37,27,84,
40,0,39,78,50,37,113,
41,0,40,0,0,0,0,
42,0,41,0,0,0,0,
43,0,42,0,0,0,0,
44,0,43,0,0,0,0,
45,0,44,0,0,0,0,
46,0,45,0,0,0,0,
47,0,46,0,0,0,0,
48,0,47,0,0,0,0,
49,0,48,0,0,0,0,
50,0,49,0,0,0,0,
51,0,50,0,0,0,0,
52,0,51,0,0,0,0,
53,0,52,0,0,0,0,
54,0,53,0,0,0,0,
55,0,54,0,0,0,0,
56,0,55,0,0,0,0,
57,0,56,0,0,0,0,
58,0,57,0,0,0,0,
59,0,58,0,0,0,0,
60,0,59,0,0,0,0,
61,0,60,0,0,0,0,
62,0,61,0,0,0,0,
63,0,62,0,0,0,0,
64,0,63,0,0,0,0,
65,1,0,0,0,0,0,
66,1,1,95,193,76,255,
67,1,2,99,199,77,255,
68,1,3,228,166,114,255,
69,1,4,0,153,219,255,
70,1,5,228,213,114,255,
71,1,6,62,39,49,255,
72,1,7,228,210,114,255,
73,1,8,228,212,114,255,
74,1,9,228,212,114,255,
75,1,10,0,0,0,0,
76,1,11,0,0,0,0,
77,1,12,0,0,0,60,
78,1,13,0,0,0,28,
79,1,14,0,0,0,26,
80,1,15,0,0,0,5,
81,1,16,0,0,0,32,
82,1,17,0,0,0,57,
83,1,18,0,0,0,30,
84,1,19,0,0,0,11,
85,1,20,0,0,0,0,
86,1,21,0,0,0,0,
87,1,22,0,0,0,0,
88,1,23,0,0,0,0,
89,1,24,0,0,0,0,
90,1,25,0,0,0,0,
91,1,26,0,0,0,0,
92,1,27,39,75,37,97,
93,1,28,39,75,37,97,
94,1,29,37,72,35,94,
95,1,30,38,72,35,94,
96,1,31,9,22,20,37,
97,1,32,5,10,9,16,
98,1,33,12,28,27,46,
99,1,34,12,29,29,48,
100,1,35,0,0,0,0,
101,1,36,0,0,0,0,
102,1,37,140,83,56,191,
103,1,38,65,42,31,95,
104,1,39,65,42,31,95,
105,1,40,51,34,25,71,
106,1,41,70,46,34,98,
107,1,42,70,47,34,98,
108,1,43,0,0,0,0,
109,1,44,89,100,121,199,
110,1,45,109,122,146,237,
111,1,46,99,110,132,211,
112,1,47,104,116,140,228,
113,1,48,0,0,0,0,
114,1,49,22,45,21,75,
115,1,50,22,45,21,75,
116,1,51,79,120,65,249,
117,1,52,79,120,65,249,
118,1,53,0,0,0,0,
119,1,54,0,0,0,0,
120,1,55,45,91,45,159,
121,1,56,45,91,45,159,
122,1,57,45,91,45,159,
123,1,58,45,91,45,159,
124,1,59,0,0,0,0,
125,1,60,0,0,0,0,
126,1,61,0,0,0,0,
127,1,62,0,0,0,0,
128,1,63,0,0,0,0,
129,2,0,0,0,0,0,
130,2,1,104,200,79,255,
131,2,2,101,200,78,255,
132,2,3,101,199,78,255,
133,2,4,96,195,81,255,
134,2,5,98,197,79,255,
135,2,6,98,198,78,255,
136,2,7,11,13,18,55,
137,2,8,43,56,86,255,
138,2,9,11,13,18,55,
139,2,10,17,12,14,55,
140,2,11,70,52,64,255,
141,2,12,17,12,14,55,
142,2,13,0,0,0,0,
143,2,14,193,131,103,255,
144,2,15,76,52,41,100,
145,2,16,0,0,0,0,
146,2,17,0,0,0,0,
147,2,18,0,0,0,0,
148,2,19,121,100,102,208,
149,2,20,43,57,75,102,
150,2,21,121,100,102,208,
151,2,22,130,102,101,218,
152,2,23,55,66,84,124,
153,2,24,130,102,101,218,
154,2,25,12,44,84,112,
155,2,26,0,0,0,0,
156,2,27,15,29,15,38,
157,2,28,18,35,17,45,
158,2,29,21,39,19,51,
159,2,30,15,30,15,39,
160,2,31,24,17,11,37,
161,2,32,12,7,4,16,
162,2,33,34,19,13,46,
163,2,34,36,16,12,44,
164,2,35,0,0,0,0,
165,2,36,0,0,0,0,
166,2,37,111,66,46,162,
167,2,38,58,37,27,84,
168,2,39,78,50,37,113,
169,2,40,96,63,47,137,
170,2,41,78,50,37,113,
171,2,42,58,37,27,84,
172,2,43,0,0,0,0,
173,2,44,61,67,79,117,
174,2,45,82,90,107,165,
175,2,46,116,66,48,170,
176,2,47,82,90,107,165,
177,2,48,9,3,4,16,
178,2,49,17,39,28,90,
179,2,50,17,39,28,90,
180,2,51,66,124,65,253,
181,2,52,66,124,65,253,
182,2,53,0,0,0,0,
183,2,54,0,0,0,0,
184,2,55,27,47,40,135,
185,2,56,63,119,68,247,
186,2,57,63,119,68,247,
187,2,58,27,47,40,135,
188,2,59,0,0,0,0,
189,2,60,0,0,0,0,
190,2,61,0,0,0,0,
191,2,62,0,0,0,0,
192,2,63,0,0,0,0,
193,3,0,97,196,77,255,
194,3,1,97,196,76,255,
195,3,2,100,199,78,255,
196,3,3,100,199,78,255,
197,3,4,98,196,81,255,
198,3,5,100,199,78,255,
199,3,6,98,197,80,255,
200,3,7,100,199,78,255,
201,3,8,56,111,46,144,
202,3,9,0,0,0,0,
203,3,10,87,51,37,135,
204,3,11,188,121,91,255,
205,3,12,87,51,37,135,
206,3,13,20,14,11,27,
207,3,14,101,69,54,133,
208,3,15,15,10,8,20,
209,3,16,0,0,0,0,
210,3,17,0,0,0,0,
211,3,18,0,0,0,0,
212,3,19,6,22,42,56,
213,3,20,2,8,15,18,
214,3,21,6,22,42,56,
215,3,22,7,24,47,62,
216,3,23,1,2,4,5,
217,3,24,7,24,47,62,
218,3,25,13,49,94,124,
219,3,26,0,0,0,0,
220,3,27,15,30,15,40,
221,3,28,17,34,16,46,
222,3,29,18,36,18,50,
223,3,30,19,37,18,51,
224,3,31,24,26,19,34,
225,3,32,14,15,11,20,
226,3,33,38,42,30,58,
227,3,34,38,42,34,54,
228,3,35,64,67,54,93,
229,3,36,0,0,0,0,
230,3,37,70,42,28,96,
231,3,38,0,0,0,0,
232,3,39,70,45,33,102,
233,3,40,58,39,28,81,
234,3,41,40,25,18,57,
235,3,42,0,0,0,0,
236,3,43,0,0,0,0,
237,3,44,56,63,76,122,
238,3,45,103,113,135,214,
239,3,46,106,116,139,219,
240,3,47,103,113,136,219,
241,3,48,26,10,12,46,
242,3,49,27,39,20,75,
243,3,50,32,36,20,77,
244,3,51,0,0,0,0,
245,3,52,4,8,4,12,
246,3,53,45,91,45,159,
247,3,54,45,91,45,159,
248,3,55,45,91,46,161,
249,3,56,64,124,69,253,
250,3,57,64,124,69,253,
251,3,58,45,91,46,161,
252,3,59,45,91,45,159,
253,3,60,45,91,45,159,
254,3,61,0,0,0,0,
255,3,62,0,0,0,0,
256,3,63,0,0,0,0,
257,4,0,0,0,0,0,
258,4,1,100,199,78,255,
259,4,2,100,199,78,255,
260,4,3,98,197,80,255,
261,4,4,56,111,46,144,
262,4,5,102,191,77,255,
263,4,6,124,150,72,255,
264,4,7,124,150,72,255,
265,4,8,0,0,0,0,
266,4,9,0,0,0,0,
267,4,10,164,94,70,255,
268,4,11,188,106,78,255,
269,4,12,164,95,70,255,
270,4,13,0,0,0,0,
271,4,14,71,152,94,255,
272,4,15,73,156,95,255,
273,4,16,75,160,95,255,
274,4,17,73,156,95,255,
275,4,18,0,0,0,0,
276,4,19,59,124,72,175,
277,4,20,5,19,37,44,
278,4,21,59,124,72,175,
279,4,22,61,132,86,192,
280,4,23,4,15,30,36,
281,4,24,61,132,86,192,
282,4,25,0,0,0,0,
283,4,26,0,0,0,0,
284,4,27,28,55,27,69,
285,4,28,32,61,30,78,
286,4,29,32,62,30,79,
287,4,30,29,55,27,70,
288,4,31,44,48,57,89,
289,4,32,36,40,48,82,
290,4,33,23,26,31,51,
291,4,34,13,14,18,32,
292,4,35,0,0,0,0,
293,4,36,0,0,0,0,
294,4,37,51,30,21,75,
295,4,38,24,16,11,30,
296,4,39,0,0,0,0,
297,4,40,47,30,22,67,
298,4,41,0,0,0,0,
299,4,42,0,0,0,0,
300,4,43,0,0,0,0,
301,4,44,64,71,83,123,
302,4,45,80,88,105,169,
303,4,46,57,29,21,90,
304,4,47,80,88,105,169,
305,4,48,34,19,10,46,
306,4,49,22,36,28,90,
307,4,50,21,37,28,90,
308,4,51,38,82,48,165,
309,4,52,35,77,39,163,
310,4,53,27,47,40,135,
311,4,54,63,119,68,247,
312,4,55,63,119,68,247,
313,4,56,63,120,69,249,
314,4,57,63,120,69,249,
315,4,58,63,119,68,247,
316,4,59,63,119,68,247,
317,4,60,27,47,40,135,
318,4,61,0,0,0,0,
319,4,62,0,0,0,0,
320,4,63,0,0,0,0,
321,5,0,0,0,0,0,
322,5,1,0,0,0,0,
323,5,2,0,0,0,0,
324,5,3,0,0,0,0,
325,5,4,0,0,0,0,
326,5,5,0,0,0,0,
327,5,6,155,204,96,255,
328,5,7,155,204,96,255,
329,5,8,99,197,80,255,
330,5,9,99,197,80,255,
331,5,10,194,150,91,255,
332,5,11,0,0,0,0,
333,5,12,194,150,91,255,
334,5,13,0,0,0,0,
335,5,14,220,160,116,255,
336,5,15,0,0,0,0,
337,5,16,77,56,41,92,
338,5,17,0,0,0,0,
339,5,18,0,0,0,0,
340,5,19,149,155,123,208,
341,5,20,44,60,76,102,
342,5,21,149,155,123,208,
343,5,22,162,166,125,218,
344,5,23,60,76,87,124,
345,5,24,162,166,125,218,
346,5,25,0,0,0,0,
347,5,26,0,0,0,0,
348,5,27,40,44,58,120,
349,5,28,31,33,44,93,
350,5,29,39,43,55,112,
351,5,30,0,0,0,0,
352,5,31,76,48,41,138,
353,5,32,82,56,45,138,
354,5,33,0,0,0,0,
355,5,34,0,0,0,0,
356,5,35,0,0,0,0,
357,5,36,0,0,0,0,
358,5,37,158,100,69,211,
359,5,38,200,138,98,253,
360,5,39,49,31,22,70,
361,5,40,202,140,99,251,
362,5,41,49,31,22,70,
363,5,42,0,0,0,0,
364,5,43,0,0,0,0,
365,5,44,58,64,76,117,
366,5,45,0,0,0,0,
367,5,46,0,0,0,0,
368,5,47,0,0,0,0,
369,5,48,12,7,3,16,
370,5,49,31,43,20,75,
371,5,50,38,43,19,77,
372,5,51,0,0,0,0,
373,5,52,40,62,40,155,
374,5,53,45,91,46,161,
375,5,54,64,124,69,253,
376,5,55,64,124,69,253,
377,5,56,64,124,69,253,
378,5,57,64,124,69,253,
379,5,58,64,124,69,253,
380,5,59,64,124,69,253,
381,5,60,45,91,46,161,
382,5,61,0,0,0,0,
383,5,62,0,0,0,0,
384,5,63,0,0,0,0,
385,6,0,0,0,0,0,
386,6,1,0,0,0,0,
387,6,2,0,0,0,0,
388,6,3,0,0,0,0,
389,6,4,0,0,0,0,
390,6,5,0,0,0,0,
391,6,6,0,0,0,0,
392,6,7,0,0,0,0,
393,6,8,0,0,0,0,
394,6,9,0,0,0,0,
395,6,10,134,144,73,255,
396,6,11,0,0,0,0,
397,6,12,134,144,73,255,
398,6,13,23,16,12,27,
399,6,14,114,82,59,133,
400,6,15,18,13,9,20,
401,6,16,77,55,39,89,
402,6,17,0,0,0,0,
403,6,18,0,0,0,0,
404,6,19,2,6,10,14,
405,6,20,0,0,0,0,
406,6,21,2,6,10,14,
407,6,22,5,10,16,21,
408,6,23,0,0,0,0,
409,6,24,5,10,16,21,
410,6,25,0,0,0,0,
411,6,26,36,36,36,36,
412,6,27,34,34,34,34,
413,6,28,35,35,35,35,
414,6,29,31,31,31,31,
415,6,30,79,194,235,255,
416,6,31,77,193,235,255,
417,6,32,78,194,235,255,
418,6,33,75,193,235,255,
419,6,34,179,113,87,255,
420,6,35,0,0,0,0,
421,6,36,0,0,0,0,
422,6,37,0,0,0,0,
423,6,38,38,24,20,64,
424,6,39,0,0,0,0,
425,6,40,196,133,94,251,
426,6,41,0,0,0,0,
427,6,42,0,0,0,0,
428,6,43,0,0,0,0,
429,6,44,37,25,22,82,
430,6,45,0,0,0,0,
431,6,46,0,0,0,0,
432,6,47,0,0,0,0,
433,6,48,0,0,0,0,
434,6,49,25,39,27,90,
435,6,50,22,39,28,90,
436,6,51,11,24,12,48,
437,6,52,11,24,12,48,
438,6,53,27,47,40,135,
439,6,54,29,50,42,141,
440,6,55,29,50,42,141,
441,6,56,63,120,69,249,
442,6,57,63,120,69,249,
443,6,58,29,50,42,141,
444,6,59,29,50,42,141,
445,6,60,27,47,40,135,
446,6,61,0,0,0,0,
447,6,62,0,0,0,0,
448,6,63,0,0,0,0,
449,7,0,0,0,0,0,
450,7,1,228,166,114,255,
451,7,2,112,109,63,164,
452,7,3,112,109,63,164,
453,7,4,22,32,16,48,
454,7,5,119,112,68,164,
455,7,6,18,35,17,48,
456,7,7,4,8,3,10,
457,7,8,2,4,2,5,
458,7,9,224,163,114,255,
459,7,10,224,162,113,255,
460,7,11,228,167,117,255,
461,7,12,194,133,105,255,
462,7,13,100,96,60,164,
463,7,14,100,96,60,164,
464,7,15,21,32,16,48,
465,7,16,105,98,64,164,
466,7,17,18,35,17,48,
467,7,18,4,8,3,10,
468,7,19,2,4,2,5,
469,7,20,193,131,103,255,
470,7,21,193,131,103,255,
471,7,22,50,220,232,255,
472,7,23,79,202,134,255,
473,7,24,80,202,134,255,
474,7,25,97,196,80,255,
475,7,26,77,206,147,255,
476,7,27,97,196,80,255,
477,7,28,99,199,77,255,
478,7,29,99,199,77,255,
479,7,30,48,183,231,255,
480,7,31,48,183,231,255,
481,7,32,49,183,231,255,
482,7,33,49,183,231,255,
483,7,34,228,195,114,255,
484,7,35,58,49,29,65,
